product_id;img_link;product_link
B00GG59HU2;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41k0WxE3sKS._SY445_SX342_QL70_FMwebp_.jpg;https://www.amazon.in/BlueRigger-High-Speed-Cable-Ethernet/dp/B00GG59HU2/ref=sr_1_225?qid=1672909135&s=electronics&sr=1-225
B00GGGOYEK;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41oK+rXtssS._SY300_SX300_.jpg;https://www.amazon.in/Storite%C2%AE-USB-2-0-Mini-0-88feet/dp/B00GGGOYEK/ref=sr_1_222?qid=1672909135&s=electronics&sr=1-222
B00GGGOYEU;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41Wb7LHAeLL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Storite-USB-2-0-Mini-External/dp/B00GGGOYEU/ref=sr_1_489?qid=1672909149&s=electronics&sr=1-489
B00GHL8VP2;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41lsUHKNfSL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Usha-1212-PTC-Adjustable-Thermostat/dp/B00GHL8VP2/ref=sr_1_494?qid=1672923617&s=kitchen&sr=1-494
B00GZLB57U;https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/31AQqe9fbJL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Quantum-Ethernet-Patch-Straight-Category/dp/B00GZLB57U/ref=sr_1_202?qid=1672903005&s=computers&sr=1-202
B00H0B29DI;https://m.media-amazon.com/images/I/41A8H7PSidL._SY300_SX300_QL70_FMwebp_.jpg;https://www.amazon.in/Usha-Convector-2000-Watt-Instant-Heating/dp/B00H0B29DI/ref=sr_1_111?qid=1672923596&s=kitchen&sr=1-111
B00H3H03Q4;https://m.media-amazon.com/images/I/41rkDPlAt+L._SY300_SX300_.jpg;https://www.amazon.in/HUL-Pureit-Germkill-Classic-Purifier/dp/B00H3H03Q4/ref=sr_1_131?qid=1672923597&s=kitchen&sr=1-131
B00H47GVGY;https://m.media-amazon.com/images/I/514Zxz-eqKL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Usha-Quartz-800-Watt-Overheating-Protection/dp/B00H47GVGY/ref=sr_1_6?qid=1672923591&s=kitchen&sr=1-6
B00HVXS7WC;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/31rucE-db2L._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Bajaj-Rex-500-Watt-Mixer-Grinder/dp/B00HVXS7WC/ref=sr_1_34?qid=1672923592&s=kitchen&sr=1-34
B00HZIOGXW;https://m.media-amazon.com/images/W/WEBP_402378-T1/images/I/41ORNeJrRxL._SX300_SY300_QL70_FMwebp_.jpg;https://www.amazon.in/Crompton-CG-IHL-1500-Watt-Immersion-Compatible/dp/B00HZIOGXW/ref=sr_1_144?qid=1672923597&s=kitchen&sr=1-144
B00J4YG0PC;https://m.media-amazon.com/images/I/41+vZl3dF7L._SY300_SX300_.jpg;https://www.amazon.in/Classmate-Long-Notebook-Cover-Single/dp/B00J4YG0PC/ref=sr_1_225?qid=1672903006&s=computers&sr=1-225
